degree,trig (cos),x,gap,gap %,gap frac 1x,gap frac 2x,overlap,overlap %,overlap frac 1x,overlap frac 2x,degreesby10s,diffby10deg,counter,gap by degree
31,0.857167301,0.964,,,,,0.803,71%, 5/8, 22/39,,,59,0.964
30,0.866025404,0.974,,,,,0.823,73%, 2/3, 37/64,,,60,0.974
29,0.874619707,0.984,,,,,0.843,75%, 2/3, 45/76,,,61,0.984
28,0.882947593,0.993,,,,,0.861,77%, 2/3, 26/43,,,62,0.993
27,0.891006524,1.002,,,,,0.879,78%, 2/3, 50/81,,,63,1.002
26,0.898794046,1.011,,,,,0.897,80%, 5/7, 17/27,,,64,1.011
25,0.906307787,1.02,,,,,0.915,81%, 5/7,  9/14,,,65,1.02
24,0.913545458,1.028,,,,,0.931,83%, 3/4, 17/26,,,66,1.028
23,0.920504853,1.036,,,,,0.947,84%, 3/4,  2/3 ,,,67,1.036
22,0.927183855,1.043,,,,,0.961,85%, 3/4, 27/40,,,68,1.043
21,0.933580426,1.05,,,,,0.975,87%, 7/9, 63/92,,,69,1.05
20,0.939692621,1.057,,,,,0.989,88%, 7/9, 25/36,,,70,1.057
19,0.945518576,1.064,,,,,1.003,89%, 4/5, 31/44,,,71,1.064
18,0.951056516,1.07,,,,,1.015,90%, 4/5, 67/94,,,72,1.07
17,0.956304756,1.076,,,,,1.027,91%, 4/5, 44/61,,,73,1.076
16,0.961261696,1.081,,,,,1.037,92%, 5/6, 67/92,,,74,1.081
15,0.965925826,1.087,,,,,1.049,93%, 5/6, 14/19,,,75,1.087
14,0.970295726,1.092,,,,,1.059,94%, 5/6, 29/39,,,76,1.092
13,0.974370065,1.096,,,,,1.067,95%, 5/6,  3/4 ,,,77,1.096
12,0.978147601,1.1,,,,,1.075,96%, 6/7, 37/49,,,78,1.1
11,0.981627183,1.104,,,,,1.083,96%, 6/7, 54/71,,,79,1.104
10,0.984807753,1.108,,,,,1.091,97%, 6/7, 59/77,,,80,1.108
9,0.987688341,1.111,,,,,1.097,98%, 7/8, 47/61,,,81,1.111
8,0.990268069,1.114,,,,,1.103,98%, 7/8, 55/71,,,82,1.114
7,0.992546152,1.117,,,,,1.109,99%, 7/8, 74/95,,,83,1.117
6,0.994521895,1.119,,,,,1.113,99%, 7/8, 43/55,,,84,1.119
5,0.996194698,1.121,,,,,1.117,99%, 8/9, 51/65,,,85,1.121
4,0.99756405,1.122,,,,,1.119,99%, 8/9, 11/14,,,86,1.122
3,0.998629535,1.123,,,,,1.121,100%, 8/9, 37/47,,,87,1.123
2,0.999390827,1.124,,,,,1.123,100%, 8/9, 56/71,,,88,1.124
1,0.999847695,1.125,,,,,1.125,100%, 8/9, 64/81,,,89,1.125
0,1,1.125,,,,,1.125,100%, 8/9, 64/81,,,90,1.125
